model,benchmark,reference_observation_class,reference_method,comparison_observation_class,comparison_method,operator,estimand,metric,unit,favorable_direction,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0022190499999999998,0.0022499499999999997,3.090000000000003e-05,-4.925624999999997e-05,0.00012285812499999996,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0022190499999999998,0.0022499499999999997,3.090000000000003e-05,-5.2964374999999935e-05,0.000125029375,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.75,0.7,-0.05,-0.15,0.05,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,4360.55,4315.3,-45.25,-142.00687499999998,47.091249999999505,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,4360.55,4315.3,-45.25,-139.01437499999997,52.35437499999998,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,19451.25,20202.0,750.75,-477.54249999999985,1987.789374999999,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0022190499999999998,0.0022082,-1.0849999999999966e-05,-9.275312499999999e-05,6.878687499999997e-05,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0022190499999999998,0.0022082,-1.0849999999999966e-05,-9.175062499999995e-05,7.260312499999998e-05,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,baseline,turn_clock,lossy_compaction,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.775,0.7,-0.075,-0.175,0.025,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,4379.475,4315.3,-64.175,-139.22937499999998,7.95374999999998,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,4379.475,4315.3,-64.175,-145.27625,10.30937499999995,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,20030.275,20202.0,171.725,-774.9306249999995,1125.0381249999994,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0022499499999999997,0.0022082,-4.175e-05,-0.00010882812499999997,2.3504374999999973e-05,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0022499499999999997,0.0022082,-4.175e-05,-0.00011315812499999996,1.9881249999999982e-05,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
